t_unix_s,pressure_kpa
1769725428.269182,99.580
1769725428.271229,99.580
1769725428.273237,99.590
1769725428.274184,99.590
1769725428.276186,99.590
1769725428.279183,99.600
1769725428.280194,99.590
1769725428.283191,99.590
1769725428.284190,99.580
1769725428.286214,99.590
1769725428.293183,99.590
1769725428.294185,99.590
1769725428.295182,99.610
1769725428.297223,99.590
1769725428.300184,99.590
1769725428.302189,99.590
1769725428.305193,99.580
1769725428.306185,99.590
1769725428.308190,99.590
1769725428.310183,99.600
1769725428.314299,99.600
1769725428.318313,99.590
1769725428.319444,99.580
1769725428.321462,99.580
1769725428.323462,99.600
1769725428.325494,99.590
1769725428.326457,99.600
1769725428.327963,99.590
1769725428.329976,99.590
1769725428.330977,99.590
1769725428.334977,99.580
1769725428.336977,99.590
1769725428.339278,99.600
1769725428.340245,99.590
1769725428.341249,99.580
1769725428.343244,99.590
1769725428.344245,99.590
1769725428.345244,99.590
1769725428.347240,99.590
1769725428.351254,99.600
1769725428.357244,99.590
1769725428.358243,99.590
1769725428.375748,99.590
1769725428.404295,99.600
1769725428.432019,99.590
1769725428.457581,99.600
1769725428.485939,99.600
1769725428.515178,99.590
1769725428.543983,99.590
1769725428.572829,99.590
1769725428.601838,99.590
1769725428.629830,99.600
1769725428.657956,99.590
1769725428.686888,99.590
1769725428.714977,99.590
1769725428.739722,99.590
1769725428.769242,99.590
1769725428.798240,99.600
1769725428.826260,99.590
1769725428.854834,99.590
1769725428.883844,99.590
1769725428.911972,99.590
1769725428.940773,99.600
1769725428.969670,99.590
1769725428.998465,99.590
1769725429.022646,99.600
1769725429.052248,99.590
1769725429.080894,99.590
1769725429.108774,99.590
1769725429.136832,99.580
1769725429.166364,99.590
1769725429.195098,99.600
1769725429.223244,99.580
1769725429.251987,99.590
1769725429.281033,99.580
1769725429.305530,99.600
1769725429.334587,99.600
1769725429.362643,99.590
1769725429.391609,99.600
1769725429.420623,99.590
1769725429.449768,99.590
1769725429.477770,99.580
1769725429.505808,99.590
1769725429.535279,99.590
1769725429.563379,99.590
1769725429.587864,99.590
1769725429.617775,99.590
1769725429.645533,99.590
1769725429.674966,99.590
1769725429.703418,99.590
1769725429.732966,99.590
1769725429.759958,99.590
1769725429.788958,99.600
1769725429.817982,99.590
1769725429.845495,99.590
1769725429.870746,99.600
1769725429.900117,99.580
1769725429.928227,99.590
1769725429.956523,99.590
1769725429.985606,99.580
1769725430.016231,99.590
1769725430.042486,99.580
1769725430.071646,99.590
1769725430.100663,99.590
1769725430.128855,99.580
1769725430.153449,99.580
1769725430.182487,99.580
1769725430.210488,99.580
1769725430.239362,99.590
1769725430.267401,99.580
1769725430.296552,99.580
1769725430.325586,99.580
1769725430.354495,99.590
1769725430.382053,99.580
1769725430.410808,99.590
1769725430.439766,99.570
1769725430.464831,99.580
1769725430.492765,99.580
1769725430.521946,99.580
1769725430.550439,99.580
1769725430.579446,99.570
1769725430.608463,99.560
1769725430.636449,99.590
1769725430.665439,99.570
1769725430.693433,99.580
1769725430.722533,99.570
1769725430.747284,99.580
1769725430.776422,99.580
1769725430.804423,99.580
1769725430.834133,99.580
1769725430.862265,99.590
1769725430.890157,99.580
1769725430.919401,99.590
1769725430.948222,99.590
1769725430.976228,99.590
1769725431.005333,99.570
1769725431.029334,99.590
1769725431.058107,99.590
1769725431.087041,99.580
1769725431.116154,99.590
1769725431.144914,99.590
1769725431.172917,99.580
1769725431.201910,99.580
1769725431.231088,99.580
1769725431.259739,99.580
1769725431.287961,99.580
1769725431.313009,99.580
1769725431.341215,99.590
1769725431.369680,99.580
1769725431.399591,99.580
1769725431.428021,99.590
1769725431.456197,99.590
1769725431.484629,99.570
1769725431.513615,99.580
1769725431.542512,99.580
1769725431.570055,99.580
1769725431.595777,99.580
1769725431.623928,99.580
1769725431.653425,99.580
1769725431.681487,99.580
1769725431.709965,99.590
1769725431.738715,99.580
1769725431.767657,99.580
1769725431.795795,99.590
1769725431.824812,99.580
1769725431.852935,99.600
1769725431.878008,99.590
1769725431.906937,99.580
1769725431.935959,99.580
1769725431.964457,99.590
1769725431.993069,99.590
1769725432.021321,99.590
1769725432.051234,99.590
1769725432.078736,99.580
1769725432.107570,99.570
1769725432.135703,99.590
1769725432.160323,99.590
1769725432.189238,99.590
1769725432.218200,99.590
1769725432.246977,99.590
1769725432.275571,99.590
1769725432.304037,99.570
1769725432.332417,99.590
1769725432.361349,99.590
1769725432.389418,99.580
1769725432.418698,99.580
1769725432.442819,99.580
1769725432.472157,99.590
1769725432.500444,99.590
1769725432.529691,99.590
1769725432.558153,99.590
1769725432.587872,99.570
1769725432.614485,99.580
1769725432.644205,99.580
1769725432.673137,99.590
1769725432.700625,99.580
1769725432.725728,99.580
1769725432.755169,99.580
1769725432.783386,99.580
1769725432.812148,99.580
1769725432.841095,99.590
1769725432.869048,99.590
1769725432.898053,99.580
1769725432.927197,99.590
1769725432.954907,99.590
1769725432.983911,99.590
1769725433.007909,99.580
1769725433.036940,99.590
1769725433.068097,99.590
1769725433.095598,99.580
1769725433.123204,99.590
1769725433.151895,99.580
1769725433.180919,99.580
1769725433.209131,99.580
1769725433.236896,99.580
1769725433.266420,99.580
1769725433.295418,99.570
1769725433.320424,99.580
1769725433.348749,99.580
1769725433.377259,99.580
1769725433.406189,99.590
1769725433.435303,99.590
1769725433.463914,99.580
1769725433.491959,99.570
1769725433.520956,99.570
1769725433.549588,99.580
1769725433.577813,99.590
1769725433.602160,99.580
1769725433.650172,99.580
1769725433.659572,99.580
1769725433.688566,99.580
1769725433.717574,99.580
1769725433.746179,99.580
1769725433.775185,99.590
1769725433.803285,99.580
1769725433.832475,99.580
1769725433.860795,99.590
1769725433.885789,99.590
1769725433.914790,99.590
1769725433.943090,99.590
1769725433.971618,99.570
1769725434.000603,99.580
1769725434.028713,99.580
1769725434.057740,99.570
1769725434.085748,99.570
1769725434.114759,99.590
1769725434.143482,99.570
1769725434.168489,99.580
1769725434.196755,99.580
1769725434.224898,99.570
1769725434.253741,99.580
1769725434.283735,99.580
1769725434.311072,99.580
1769725434.339185,99.580
1769725434.368937,99.580
1769725434.396800,99.580
1769725434.425695,99.580
1769725434.451024,99.580
1769725434.479208,99.570
1769725434.508179,99.580
1769725434.536608,99.570
1769725434.565134,99.590
1769725434.594048,99.570
1769725434.622990,99.580
1769725434.651218,99.590
1769725434.680032,99.580
1769725434.708693,99.580
1769725434.733466,99.580
1769725434.761603,99.580
1769725434.790318,99.590
1769725434.820037,99.590
1769725434.848797,99.570
1769725434.876319,99.590
1769725434.905386,99.580
1769725434.934538,99.580
1769725434.962340,99.590
1769725434.991216,99.590
1769725435.016356,99.580
1769725435.045519,99.580
1769725435.073376,99.570
1769725435.103374,99.570
1769725435.131807,99.590
1769725435.159678,99.580
1769725435.187775,99.590
1769725435.217688,99.590
1769725435.245170,99.580
1769725435.273481,99.590
1769725435.298690,99.580
1769725435.327147,99.580
1769725435.355897,99.580
1769725435.385143,99.580
1769725435.414176,99.580
1769725435.442160,99.580
1769725435.470154,99.590
1769725435.499234,99.580
1769725435.527724,99.590
1769725435.556401,99.570
1769725435.581083,99.570
1769725435.610432,99.580
1769725435.638627,99.570
1769725435.667327,99.580
1769725435.696323,99.580
1769725435.724830,99.570
1769725435.752897,99.580
1769725435.781910,99.590
1769725435.810932,99.590
1769725435.839169,99.570
1769725435.864776,99.580
1769725435.892780,99.580
1769725435.920779,99.580
1769725435.952306,99.590
1769725435.978628,99.590
1769725436.007600,99.580
1769725436.036314,99.590
1769725436.064651,99.590
